,City,longitude,latitude
525,BELM,52.300,8.133
526,BELTHEIM,50.100,7.467
527,BELUM,53.817,9.000
528,BELZIG,52.147,12.593
529,BEMPFLINGEN,48.567,9.267
530,BENDESTORF,53.333,9.967
531,BENDORF,50.417,7.583
532,BENEDIKTBEUREN,47.700,11.417
533,BENNDORF,51.569,11.496
534,BENNECKENSTEIN,51.667,10.710
535,BENNINGEN,47.967,10.217
536,BENNINGEN AM NECKAR,48.950,9.250
537,BENSDORF,52.424,12.343
538,BENSHAUSEN,50.647,10.594
539,BENSHEIM,49.683,8.600
540,BERATZHAUSEN,49.100,11.800
541,BERCHING,49.100,11.433
542,BERCHTESGADEN,47.633,13.000
543,BERG,47.817,9.600
544,BERG,47.967,11.350
545,BERG,50.383,11.783
546,BERG,50.550,6.950
547,BERG (PFALZ),48.983,8.200
548,BERG BEI NEUMARKT,49.333,11.433
549,BERGA,50.750,12.159
550,BERGATREUTE,47.850,9.750
551,BERGE,52.617,7.750
552,BERGEN,47.817,12.583
553,BERGEN,49.067,11.117
554,BERGEN,52.817,9.967
555,BERGEN,54.415,13.434
556,BERGEN (DUMME),52.900,10.967
557,BERGFELDE,52.674,13.322
558,BERGHAUPTEN,48.417,7.983
559,BERGHEIM,48.767,11.267
560,BERGHEIM,50.950,6.650
561,BERGHÜLEN,48.467,9.767
562,BERGISCH GLADBACH,50.983,7.133
563,BERGKAMEN,51.617,7.633
564,BERGKIRCHEN,48.250,11.367
565,BERGLEN,48.867,9.467
566,BERGLERN,48.383,11.933
567,BERGNEUSTADT,51.017,7.650
568,BERGRHEINFELD,50.017,10.183
569,BERGTHEIM,49.900,10.083
570,BERGWITZ,51.798,12.587
571,BERKATAL,51.233,9.917
572,BERKENTHIN,53.733,10.650
573,BERKHEIM,48.033,10.083
574,BERLIN-DATA-ARTIFACT,52.523,13.413
575,BERLIN,52.518611,13.408333
576,BERMATINGEN,47.733,9.350
577,BERMSGRÜN,50.528,12.783
578,BERNAU,47.800,8.033
579,BERNAU,52.683,13.583
580,BERNAU AM CHIEMSEE,47.817,12.383
581,BERNBEUREN,47.733,10.783
582,BERNBURG,51.791,11.736
583,BERNE,53.183,8.483
584,BERNGAU,49.250,11.400
585,BERNHARDSWALD,49.100,12.250
586,BERNKASTEL-KUES,49.917,7.067
587,BERNRIED,47.867,11.300
588,BERNRIED,48.917,12.883
589,BERNSBACH,50.587,12.768
590,BERNSDORF,50.768,12.667
591,BERNSDORF,51.376,14.074
592,BERNSTADT,48.500,10.017
593,BERNSTADT,51.048,14.842
594,BERNTERODE,51.399,10.471
595,BERSENBRÜCK,52.550,7.950
596,BERTHELSDORF,50.869,13.373
597,BERTHELSDORF,51.028,14.776
598,BERTHELSDORF,51.050,14.228
599,BERTSDORF,50.885,14.759
600,BERUMBUR,53.583,7.317
601,BERZDORF AN DER EIGEN,51.064,14.915
602,BESELICH,50.467,8.117
603,BESIGHEIM,49.000,9.150
604,BESSENBACH,49.967,9.250
605,BESTENSEE,52.245,13.633
606,BESTWIG,51.367,8.400
607,BETHELN,52.117,9.800
608,BETTINGEN,49.950,6.400
609,BETZDORF,50.783,7.867
610,BETZENSTEIN,49.683,11.417
611,BETZIGAU,47.733,10.383
612,BETZWEILER-WÄLDE,48.383,8.483
613,BEUCHA,51.319,12.565
614,BEUREN,48.567,9.400
615,BEUREN (HOCHWALD),49.733,6.917
616,BEURON,48.083,9.033
617,BEUTELSBACH,48.550,13.117
618,BEVERN,51.867,9.500
619,BEVERSTEDT,53.433,8.817
620,BEVERUNGEN,51.667,9.383
621,BEXBACH,49.350,7.267
622,BIBERACH,48.333,8.033
623,BIBERACH AN DER RISS,48.100,9.783
624,BIBERBACH,48.517,10.817
625,BIBERTAL,48.400,10.200
626,BIBLIS,49.683,8.450
627,BICHL,47.717,11.417
628,BICKENBACH,49.750,8.617
629,BIDINGEN,47.833,10.733
630,BIEBELRIED,49.767,10.083
631,BIEBEREHREN,49.517,10.000
632,BIEBERGEMÜND,50.217,9.283
633,BIEBERTAL,50.617,8.600
634,BIEBESHEIM AM RHEIN,49.783,8.467
635,BIEDENKOPF,50.917,8.533
636,BIEDERBACH,48.200,8.033
637,BIEDERITZ,52.161,11.716
638,BIELATAL,50.872,14.054
639,BIELEFELD,52.017,8.533
640,BIELEN,51.489,10.843
641,BIENENBÜTTEL,53.150,10.483
642,BIENENMÜHLE,50.736,13.540
643,BIERE,51.972,11.652
644,BIESENTHAL,52.768,13.634
645,BIESSENHOFEN,47.833,10.633
646,BIETIGHEIM,48.917,8.250
647,BIETIGHEIM-BISSINGEN,48.950,9.133
648,BILLERBECK,51.983,7.283
649,BILLIGHEIM,49.350,9.250
650,BILLIGHEIM-INGENHEIM,49.133,8.100
651,BILSHAUSEN,51.633,10.167
652,BINAU,49.367,9.050
653,BINDLACH,49.983,11.617
654,BINGEN,48.117,9.267
655,BINGEN,49.967,7.900
656,BINSFELD,49.967,6.700
657,BINSWANGEN,48.550,10.650
658,BINZEN,47.633,7.633
659,BIPPEN,52.583,7.733
660,BIRENBACH,48.750,9.667
661,BIRGLAND,49.417,11.633
662,BIRKEN-HONIGSESSEN,50.817,7.733
663,BIRKENAU,49.567,8.717
664,BIRKENFELD,48.867,8.633
665,BIRKENFELD,49.650,7.167
666,BIRKENFELD,49.850,9.700
667,BIRKENHEIDE,49.483,8.267
668,BIRKWITZ-PRATZSCHWITZ,50.982,13.891
669,BIRLENBACH,50.350,8.000
670,BIRNBACH,48.450,13.100
671,BIRRESBORN,50.183,6.633
672,BIRSTEIN,50.350,9.300
673,BISCHBERG,49.917,10.833
674,BISCHBRUNN,49.867,9.500
675,BISCHHEIM,51.241,14.040
676,BISCHOFFEN,50.700,8.450
677,BISCHOFSGRÜN,50.050,11.800
678,BISCHOFSHEIM,49.983,8.367
679,BISCHOFSHEIM AN DER RHÖN,50.400,10.017
680,BISCHOFSMAIS,48.917,13.083
681,BISCHOFSWERDA,51.133,14.184
682,BISCHOFSWIESEN,47.650,12.967
683,BISCHWEIER,48.833,8.283
684,BISINGEN,48.317,8.917
685,BISMARK,52.661,11.556
686,BISPINGEN,53.083,10.000
687,BISSENDORF,52.233,8.167
688,BISSINGEN,48.717,10.617
689,BISSINGEN AN DER TECK,48.600,9.500
690,BITBURG,49.967,6.533
691,BITTERFELD,51.626,12.322
692,BITZ,48.250,9.100
693,BLAIBACH,49.167,12.817
694,BLAICHACH,47.533,10.250
695,BLANKENBACH,50.067,9.233
696,BLANKENBURG,51.791,10.959
697,BLANKENFELDE,52.330,13.405
698,BLANKENHAIN,50.858,11.343
699,BLANKENHEIM,50.433,6.650
700,BLANKENHEIM,51.507,11.433
701,BLAUBEUREN,48.417,9.783
702,BLAUFELDEN,49.300,9.967
703,BLAUSTEIN,48.417,9.917
704,BLECKEDE,53.283,10.733
705,BLEICHERODE,51.440,10.576
706,BLEKENDORF,54.283,10.683
707,BLENDER,52.933,9.133
708,BLIEDERSDORF,53.483,9.567
709,BLIESKASTEL,49.233,7.267
710,BLINDHEIM,48.633,10.617
711,BLOMBERG,51.950,9.100
712,BLOMBERG,53.583,7.567
713,BLUMBERG,47.833,8.533
714,BLUMBERG,52.606,13.621
715,BOBBAU,51.690,12.264
716,BOBENHEIM-ROXHEIM,49.583,8.367
717,BOBINGEN,48.267,10.833
718,BOCHOLT,51.833,6.617
